Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,0,NA,0,0,NA
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,0,NA,0,0,NA
Igar-Vámpuszta,1,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,39.7,39.7,xxxx,NA
Igar-Vámpuszta,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,28.2,28.2,xxx,NA
Igar-Vámpuszta,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,24.4,24.4,xx,NA
Igar-Vámpuszta,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,2.6,2.6,x,NA
Igar-Vámpuszta,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,5.2,5.2,x,NA
Igar-Vámpuszta,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,50.8,50.8,xxxx,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,29.6,29.6,xxx,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,12.4,12.4,xx,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,1.6,1.6,x,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.1,6.1,x,NA
Jászdózsa-Kápolnahalom,1,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,30,30,xxxx,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,21.6,21.6,xxx,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,18.1,18.1,xx,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,7,7,x,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,23.3,23.3,xxx,NA
Jászdózsa-Kápolnahalom,1,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,24.4,24.4,xx,NA
Jászdózsa-Kápolnahalom,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,10.3,10.3,x,NA
Jászdózsa-Kápolnahalom,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,13.9,13.9,xx,NA
Jászdózsa-Kápolnahalom,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,3.7,3.7,x,NA
Jászdózsa-Kápolnahalom,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,47.8,47.8,xxxx,NA
Jászdózsa-Kápolnahalom,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,39.3,39.3,xxxx,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,17.2,17.2,xx,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,12,12,xx,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,5.4,5.4,x,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,26.1,26.1,xxx,NA
Kajárpéc-Pokolfa-domb,1,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,43,43,xxxx,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,23.7,23.7,xx,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,20.9,20.9,xx,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,4.5,4.5,x,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,8,8,x,NA
Kajárpéric,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,42,NA,42,xxxx,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,24,NA,24,xx,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,21,NA,21,xx,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,5,NA,5,x,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,2,NA,2,x,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,7,NA,7,x,NA
Kakucs-Turján,1,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",cattle,NA,26.4,26.4,xxx,NA
Kakucs-Turján,NA,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",caprine,NA,47.7,47.7,xxxx,NA
Kakucs-Turján,NA,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",pig,NA,11.8,11.8,xx,NA
