Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Százhalombatta-Téglagyár,1,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,43.3,43.3,xxxx,NA
Százhalombatta-Téglagyár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,37.4,37.4,xxx,NA
Százhalombatta-Téglagyár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,11.1,11.1,xx,NA
Százhalombatta-Téglagyár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,5,5,x,NA
Százhalombatta-Téglagyár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,3.1,3.1,x,NA
Szebény-Paperdö,1,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,63.5,63.5,xxxx,NA
Szebény-Paperdö,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,8.5,8.5,x,NA
Szebény-Paperdö,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,16.5,16.5,xx,NA
Szebény-Paperdö,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,4.9,4.9,x,NA
Szebény-Paperdö,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.6,6.6,x,NA
Tiszaug-Kéménytetö,1,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,37.6,37.6,xxx,NA
Tiszaug-Kéménytetö,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,34.8,34.8,xx,NA
Tiszaug-Kéménytetö,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,50.3,50.3,xxxx,NA
Tiszaug-Kéménytetö,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,2.6,2.6,x,NA
Tiszaug-Kéménytetö,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,9.6,9.6,x,NA
Tiszaug-Kéménytetö Hatvan,1,MBA,1900-1400,Tell Settlement,Hatvan,"Bartosiewicz 2022, Fig. 2",cattle,NA,53.4,53.4,xxxx,NA
Tiszaug-Kéménytetö Hatvan,NA,MBA,1900-1400,Tell Settlement,Hatvan,"Bartosiewicz 2022, Fig. 2",caprine,NA,26.1,26.1,xx,NA
Tiszaug-Kéménytetö Hatvan,NA,MBA,1900-1400,Tell Settlement,Hatvan,"Bartosiewicz 2022, Fig. 2",pig,NA,7.1,7.1,x,NA
Tiszaug-Kéménytetö Hatvan,NA,MBA,1900-1400,Tell Settlement,Hatvan,"Bartosiewicz 2022, Fig. 2",horse,NA,2.9,2.9,x,NA
Tiszaug-Kéménytetö Hatvan,NA,MBA,1900-1400,Tell Settlement,Hatvan,"Bartosiewicz 2022, Fig. 2",large game,NA,11.3,11.3,xx,NA
Turony-Hosszúföldek,1,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,84.5,84.5,xxxx,NA
Turony-Hosszúföldek,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,5,5,x,NA
Turony-Hosszúföldek,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,7.8,7.8,x,NA
Turony-Hosszúföldek,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,2.6,2.6,x,NA
Vál-Pogányvár,1,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,4.2,4.2,x,NA
Vál-Pogányvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,1.1,1.1,x,NA
Vál-Pogányvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,0.2,0.2,x,NA
Vál-Pogányvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,0.1,0.1,x,NA
Vál-Pogányvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,0.2,0.2,x,NA
